district,mse,rmse,rmse_pct,forecast_standard_deviation
District 101,261198025.7537342,16161.622002563177,0.839664,21020.078336574225
District 102,1675229.3689724922,1294.3065204859674,0.530798,3793.2316803729586
District 103,44022357.08067664,6634.93459505643,0.621487,12466.997339974343
District 104,311718563.3715621,17655.55332952106,0.99399,18403.019239467605
District 105,104945085.36213681,10244.270855562967,0.802162,13749.864002065131
District 131,74652257.15948014,8640.1537694349,0.541529,16784.017206616867
District 132,57586359.14752852,7588.5676611287145,0.529333,14493.302898241905
District 133,13408399.181834815,3661.748104640025,0.501193,7074.371305536451
District 134,20646023.843668375,4543.7895906025815,0.560599,7912.877063593937
District 135,31045456.67191323,5571.84499711839,0.531691,11283.887757576504
District 141,24753370.12654621,4975.2758844657255,0.648063,7658.666165309046
District 142,6642299.079332836,2577.265814644046,0.437443,6077.124179400405
District 143,31462983.15964872,5609.18738853042,0.698163,10247.946802870936
District 144,5848763.985719845,2418.4217964862632,0.522515,4657.057526976119
District 145,7513782.648962108,2741.1279884314245,0.507835,5421.717017387059
District 151,56287017.619518325,7502.467435418718,0.367197,21279.256016120635
District 152,16036323.730233036,4004.5378922209034,0.525298,7909.746039788248
District 311,59951805.840487294,7742.855147843546,0.577022,10950.586646682143
District 312,25091177.70156079,5009.109471908235,0.407029,9825.077031631285
District 313,73351188.01207517,8564.53081097121,0.609386,13536.210213433882
District 314,317917085.98928565,17830.229555148348,0.744721,22068.629904751328
District 315,92509764.62593752,9618.199656169418,0.627795,13968.430170832708
District 316,147366855.22032416,12139.475080098156,0.711624,13633.027895996358
District 317,73934812.14400901,8598.535465066654,0.614168,11073.450160813924
District 318,69861908.96090788,8358.34367329484,0.563724,12072.708293255653
District 321,119216103.43727015,10918.612706624874,0.737081,12973.544609867778
District 322,116555851.78973378,10796.103546638193,0.743253,15130.315920192448
District 323,388499419.2435982,19710.388612191244,0.943146,20721.14084805532
District 324,33741918.10939285,5808.779399270801,0.412362,10724.878479415518
District 325,51522840.23785642,7177.941225578294,0.489131,13383.44292296644
District 326,110553747.50621185,10514.454218180412,0.744007,12820.835379321714
District 327,126393495.67088011,11242.486187266592,0.801943,13620.762070732542
District 328,68140049.56655951,8254.698635720113,0.730389,10407.102004369195
District 331,55814882.46237921,7470.935849167708,0.574238,12436.309186133312
District 332,70081664.36710139,8371.479222162676,0.624513,12761.03946232628
District 333,34946305.35805234,5911.540015770201,0.598258,8007.53823340135
District 334,40336138.592449665,6351.07381412385,0.667893,8148.0629955495915
District 335,158630411.25402606,12594.856539636568,0.856622,14427.38828638456
District 336,105145056.25739682,10254.026343705034,0.707257,13631.12269842383
District 337,43335550.12739781,6582.97426148681,0.690318,8832.00414951449
District 338,6791934.862520939,2606.134083757192,0.485075,4976.946481844455
District 91,165280061.67459643,12856.129342636392,0.750606,19907.2885211579
District 92,861282445.2783607,29347.613962268904,0.846182,33547.15883533347
District 93,1131044992.9806948,33631.01236925072,1.107739,43624.965769486495
District 94,118413274.40106767,10881.786360752893,0.570738,22228.13672403751
District 95,268976206.5060288,16400.494093350626,0.933391,18668.057472143864
