ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,index,portfolio,y,total_labor_hours,wo#
2011-01-01,-62850.21228452265,-99655.06745581812,81573.8769182575,-62850.21228452265,-62850.21228452265,54276.53641237224,54276.53641237224,54276.53641237224,54276.53641237224,54276.53641237224,54276.53641237224,0.0,0.0,0.0,0.0,0.0,Central,27471.86999999999,1850.54,436.0
2011-02-01,-53056.46410158484,-95352.2577946135,73825.01996913388,-53056.46410158484,-53056.46410158484,45621.87067784114,45621.87067784114,45621.87067784114,45621.87067784114,45621.87067784114,45621.87067784114,0.0,0.0,0.0,0.0,5.0,Central,17279.399999999998,1976.2700000000004,349.0
2011-03-01,-44210.497973541824,-31792.239693753912,135534.03688937696,-44210.497973541824,-44210.497973541824,92909.45274264974,92909.45274264974,92909.45274264974,92909.45274264974,92909.45274264974,92909.45274264974,0.0,0.0,0.0,48698.95476910791,10.0,Central,45911.0,1838.3832999999997,406.0
2011-04-01,-34416.74974289584,-67338.97508908907,104358.99429661891,-34416.74974289584,-34416.74974289584,49834.88921445192,49834.88921445192,49834.88921445192,49834.88921445192,49834.88921445192,49834.88921445192,0.0,0.0,0.0,15418.139471556082,15.0,Central,38693.18000000001,1940.0100000000002,369.0
2011-05-01,-24938.92884700508,-126869.16485343,41004.00404316098,-24938.92884700508,-24938.92884700508,-17719.582127373375,-17719.582127373375,-17719.582127373375,-17719.582127373375,-17719.582127373375,-17719.582127373375,0.0,0.0,0.0,0.0,20.0,Central,27174.019999999997,1912.9799999999987,435.0
2011-06-01,-15145.180586749319,-126427.36862401196,40204.5271909263,-15145.180586749319,-15145.180586749319,-29264.877986892763,-29264.877986892763,-29264.877986892763,-29264.877986892763,-29264.877986892763,-29264.877986892763,0.0,0.0,0.0,0.0,25.0,Central,30753.95999999999,1819.49,435.0
2011-07-01,-5667.35966200517,-128080.76030642325,42681.39455774944,-5667.35966200517,-5667.35966200517,-33271.46015950672,-33271.46015950672,-33271.46015950672,-33271.46015950672,-33271.46015950672,-33271.46015950672,0.0,0.0,0.0,0.0,30.0,Central,23733.360000000004,2098.77,476.0
2011-08-01,4126.388632052967,-124433.65468402216,58133.923409016876,4126.388632052967,4126.388632052967,-34144.16767015454,-34144.16767015454,-34144.16767015454,-34144.16767015454,-34144.16767015454,-34144.16767015454,0.0,0.0,0.0,0.0,35.0,Central,36512.24999999998,1484.5233,380.0
2011-09-01,13920.136926111114,-98686.25135109284,78691.8620016745,13920.136926111114,13920.136926111114,-22526.851424853663,-22526.851424853663,-22526.851424853663,-22526.851424853663,-22526.851424853663,-22526.851424853663,0.0,0.0,0.0,0.0,40.0,Central,32403.230000000003,1365.05,380.0
2011-10-01,23397.95788398964,-80647.41434560213,100147.33162596,23397.95788398964,23397.95788398964,-10791.84461293582,-10791.84461293582,-10791.84461293582,-10791.84461293582,-10791.84461293582,-10791.84461293582,0.0,0.0,0.0,12606.113271053819,45.0,Central,31021.069999999996,1816.14,324.0
2011-11-01,33191.70623685988,-48935.83195416262,128487.14365953302,33191.70623685988,33191.70623685988,3484.1245765093117,3484.1245765093117,3484.1245765093117,3484.1245765093117,3484.1245765093117,3484.1245765093117,0.0,0.0,0.0,36675.83081336919,50.0,Central,30925.090000000004,2263.32,372.0
2011-12-01,42669.527258283044,57481.82207097521,231654.9473527888,42669.527258283044,42669.527258283044,100121.89677535203,100121.89677535203,100121.89677535203,100121.89677535203,100121.89677535203,100121.89677535203,0.0,0.0,0.0,142791.42403363506,55.0,Central,22943.390000000003,1294.4800000000002,252.0
2012-01-01,52463.27566007741,9293.235057658361,181639.86416097273,52463.27566007741,52463.27566007741,44395.32953408279,44395.32953408279,44395.32953408279,44395.32953408279,44395.32953408279,44395.32953408279,0.0,0.0,0.0,96858.60519416019,60.0,Central,43278.92999999999,1769.2399999999996,371.0
2012-02-01,62257.02429628227,-3452.4957529622666,173846.35108953094,62257.02429628227,62257.02429628227,22072.191155649864,22072.191155649864,22072.191155649864,22072.191155649864,22072.191155649864,22072.191155649864,0.0,0.0,0.0,84329.21545193213,65.0,Central,48721.260000000024,1610.4333,360.0
2012-03-01,71419.55860772393,-28376.455308398614,144988.73475963817,71419.55860772393,71419.55860772393,-7696.435664480875,-7696.435664480875,-7696.435664480875,-7696.435664480875,-7696.435664480875,-7696.435664480875,0.0,0.0,0.0,63723.122943243055,70.0,Central,34765.780000000006,1811.62,356.0
2012-04-01,81215.11503360733,21534.436223977955,188750.81090017798,81215.11503360733,81215.11503360733,25648.5090816917,25648.5090816917,25648.5090816917,25648.5090816917,25648.5090816917,25648.5090816917,0.0,0.0,0.0,106863.62411529903,75.0,Central,38256.25999999998,1596.0800000000002,328.0
2012-05-01,90695.7551453159,-13515.01361932949,167422.60969266563,90695.7551453159,90695.7551453159,-16358.022334596106,-16358.022334596106,-16358.022334596106,-16358.022334596106,-16358.022334596106,-16358.022334596106,0.0,0.0,0.0,74337.73281071978,80.0,Central,27931.510000000006,1890.3100000000002,361.0
2012-06-01,100492.60711521092,23385.53721911405,201687.67311010673,100492.60711521092,100492.60711521092,6901.220517532674,6901.220517532674,6901.220517532674,6901.220517532674,6901.220517532674,6901.220517532674,0.0,0.0,0.0,107393.8276327436,85.0,Central,33699.79999999999,1515.2500000000002,321.0
2012-07-01,109973.60096332394,34169.97927119256,215047.84779510647,109973.60096332394,109973.60096332394,12228.548241645014,12228.548241645014,12228.548241645014,12228.548241645014,12228.548241645014,12228.548241645014,0.0,0.0,0.0,122202.14920496896,90.0,Central,26630.75000000001,1279.15,300.0
2012-08-01,119770.96591439485,961.4898840862675,169531.572869164,119770.96591439485,119770.96591439485,-34958.78413422256,-34958.78413422256,-34958.78413422256,-34958.78413422256,-34958.78413422256,-34958.78413422256,0.0,0.0,0.0,84812.1817801723,95.0,Central,44565.81000000003,18224.569999999978,3175.0
2012-09-01,129568.34626823156,-20024.4796259886,156553.0361539836,129568.34626823156,129568.34626823156,-61463.87547138603,-61463.87547138603,-61463.87547138603,-61463.87547138603,-61463.87547138603,-61463.87547138603,0.0,0.0,0.0,68104.47079684553,100.0,Central,39767.430000000015,12744.140000000016,2578.0
2012-10-01,139049.68209452517,33487.044217495495,210009.6856750291,139049.68209452517,139049.68209452517,-21080.078112915016,-21080.078112915016,-21080.078112915016,-21080.078112915016,-21080.078112915016,-21080.078112915016,0.0,0.0,0.0,117969.60398161015,105.0,Central,124421.52000000002,22045.88000000005,2653.0
2012-11-01,148849.95433630364,13251.574853208624,190590.36750954014,148849.95433630364,148849.95433630364,-48247.161804569674,-48247.161804569674,-48247.161804569674,-48247.161804569674,-48247.161804569674,-48247.161804569674,0.0,0.0,0.0,100602.79253173395,110.0,Central,136531.87,28508.870000000043,2500.0
2012-12-01,158334.12549517857,224832.2678877368,397945.89637396374,158334.12549517857,158334.12549517857,149418.0566884117,149418.0566884117,149418.0566884117,149418.0566884117,149418.0566884117,149418.0566884117,0.0,0.0,0.0,307752.18218359025,115.0,Central,158015.56000000006,24492.849999999984,2488.0
2013-01-01,168134.67900654965,158313.7959140724,328818.70385010797,168134.67900654965,168134.67900654965,73915.77645526326,73915.77645526326,73915.77645526326,73915.77645526326,73915.77645526326,73915.77645526326,0.0,0.0,0.0,242050.4554618129,120.0,Central,259461.8800000001,28591.120000000024,2814.0
2013-02-01,177935.23252832246,181221.7284472848,357624.11918491265,177935.23252832246,177935.23252832246,94621.55317734682,94621.55317734682,94621.55317734682,94621.55317734682,94621.55317734682,94621.55317734682,0.0,0.0,0.0,272556.7857056693,125.0,Central,282988.27,17357.520000000004,2240.0
2013-03-01,186787.3453814776,124392.87537291358,301508.2646923067,186787.3453814776,186787.3453814776,25446.689570198345,25446.689570198345,25446.689570198345,25446.689570198345,25446.689570198345,25446.689570198345,0.0,0.0,0.0,212234.03495167592,130.0,Central,243185.7499999999,14897.13,2446.0
2013-04-01,196587.89898569856,147192.32565354693,316670.07419585966,196587.89898569856,196587.89898569856,34175.257975330125,34175.257975330125,34175.257975330125,34175.257975330125,34175.257975330125,34175.257975330125,0.0,0.0,0.0,230763.1569610287,135.0,Central,275273.23,11502.829999999994,2157.0
2013-05-01,206072.3057302354,100537.68458494435,275519.55490317877,206072.3057302354,206072.3057302354,-16309.203687566074,-16309.203687566074,-16309.203687566074,-16309.203687566074,-16309.203687566074,-16309.203687566074,0.0,0.0,0.0,189763.10204266934,140.0,Central,165953.22,16008.100000000024,3035.0
2013-06-01,215872.85936625683,129350.7375518084,303381.0195937165,215872.85936625683,215872.85936625683,-4842.992830614996,-4842.992830614996,-4842.992830614996,-4842.992830614996,-4842.992830614996,-4842.992830614996,0.0,0.0,0.0,211029.86653564184,145.0,Central,209215.7600000001,13229.49999999996,2839.0
2013-07-01,225357.26611079366,129733.85585682475,306658.7696200176,225357.26611079366,225357.26611079366,-3200.3783496744063,-3200.3783496744063,-3200.3783496744063,-3200.3783496744063,-3200.3783496744063,-3200.3783496744063,0.0,0.0,0.0,222156.88776111926,150.0,Central,255344.31999999992,60810.87999999933,4431.0
2013-08-01,235157.81974681508,113350.32813453383,286127.8354859781,235157.81974681508,235157.81974681508,-35240.655524945716,-35240.655524945716,-35240.655524945716,-35240.655524945716,-35240.655524945716,-35240.655524945716,0.0,0.0,0.0,199917.16422186937,155.0,Central,174037.83999999985,40637.920000000115,3269.0
2013-09-01,244958.37338283652,103626.80020045265,278021.81444528175,244958.37338283652,244958.37338283652,-48734.955719086516,-48734.955719086516,-48734.955719086516,-48734.955719086516,-48734.955719086516,-48734.955719086516,0.0,0.0,0.0,196223.41766375,160.0,Central,184036.51000000013,31280.56000000008,3064.0
2013-10-01,254442.7801273734,150763.99570844893,327009.20626603434,254442.7801273734,254442.7801273734,-17623.321783255586,-17623.321783255586,-17623.321783255586,-17623.321783255586,-17623.321783255586,-17623.321783255586,0.0,0.0,0.0,236819.45834411783,165.0,Central,212580.44999999995,22295.289999999964,2989.0
