ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,portfolio,y,total_labor_hours
2011-01-01,-62850.21228452265,-96946.8817053461,76370.17127965433,-62850.21228452265,-62850.21228452265,54276.53641237224,54276.53641237224,54276.53641237224,54276.53641237224,54276.53641237224,54276.53641237224,0.0,0.0,0.0,-8573.675872150408,Central,27471.86999999999,1850.54
2011-02-01,-53056.46410158484,-90916.46119354176,85641.21397152185,-53056.46410158484,-53056.46410158484,45621.87067784114,45621.87067784114,45621.87067784114,45621.87067784114,45621.87067784114,45621.87067784114,0.0,0.0,0.0,-7434.593423743696,Central,17279.399999999998,1976.2700000000004
2011-03-01,-44210.497973541824,-37336.49168360846,139887.85547174813,-44210.497973541824,-44210.497973541824,92909.45274264974,92909.45274264974,92909.45274264974,92909.45274264974,92909.45274264974,92909.45274264974,0.0,0.0,0.0,48698.95476910791,Central,45911.0,1838.3832999999997
2011-04-01,-34416.74974289584,-74389.46808624147,103508.23132157237,-34416.74974289584,-34416.74974289584,49834.88921445192,49834.88921445192,49834.88921445192,49834.88921445192,49834.88921445192,49834.88921445192,0.0,0.0,0.0,15418.139471556082,Central,38693.18000000001,1940.0100000000002
2011-05-01,-24938.92884700508,-134082.20026033896,41756.391414104866,-24938.92884700508,-24938.92884700508,-17719.582127373375,-17719.582127373375,-17719.582127373375,-17719.582127373375,-17719.582127373375,-17719.582127373375,0.0,0.0,0.0,-42658.510974378456,Central,27174.019999999997,1912.9799999999987
2011-06-01,-15145.180586749319,-135689.3821302432,43899.86131323065,-15145.180586749319,-15145.180586749319,-29264.877986892763,-29264.877986892763,-29264.877986892763,-29264.877986892763,-29264.877986892763,-29264.877986892763,0.0,0.0,0.0,-44410.05857364208,Central,30753.95999999999,1819.49
2011-07-01,-5667.35966200517,-114530.075571887,46271.64966463538,-5667.35966200517,-5667.35966200517,-33271.46015950672,-33271.46015950672,-33271.46015950672,-33271.46015950672,-33271.46015950672,-33271.46015950672,0.0,0.0,0.0,-38938.81982151189,Central,23733.360000000004,2098.77
2011-08-01,4126.388632052967,-117348.17062127888,54092.612621724875,4126.388632052967,4126.388632052967,-34144.16767015454,-34144.16767015454,-34144.16767015454,-34144.16767015454,-34144.16767015454,-34144.16767015454,0.0,0.0,0.0,-30017.77903810157,Central,36512.24999999998,1484.5233
2011-09-01,13920.136926111114,-98094.19492337917,80473.62720595767,13920.136926111114,13920.136926111114,-22526.851424853663,-22526.851424853663,-22526.851424853663,-22526.851424853663,-22526.851424853663,-22526.851424853663,0.0,0.0,0.0,-8606.714498742549,Central,32403.230000000003,1365.05
2011-10-01,23397.95788398964,-75126.43675506806,105498.02816474366,23397.95788398964,23397.95788398964,-10791.84461293582,-10791.84461293582,-10791.84461293582,-10791.84461293582,-10791.84461293582,-10791.84461293582,0.0,0.0,0.0,12606.113271053819,Central,31021.069999999996,1816.14
2011-11-01,33191.70623685988,-52208.30309046117,120574.14916965175,33191.70623685988,33191.70623685988,3484.1245765093117,3484.1245765093117,3484.1245765093117,3484.1245765093117,3484.1245765093117,3484.1245765093117,0.0,0.0,0.0,36675.83081336919,Central,30925.090000000004,2263.32
2011-12-01,42669.527258283044,54199.00381353721,233164.3059599138,42669.527258283044,42669.527258283044,100121.89677535203,100121.89677535203,100121.89677535203,100121.89677535203,100121.89677535203,100121.89677535203,0.0,0.0,0.0,142791.42403363506,Central,22943.390000000003,1294.4800000000002
2012-01-01,52463.27566007741,7081.106497921181,182966.4725925592,52463.27566007741,52463.27566007741,44395.32953408279,44395.32953408279,44395.32953408279,44395.32953408279,44395.32953408279,44395.32953408279,0.0,0.0,0.0,96858.60519416019,Central,43278.92999999999,1769.2399999999996
2012-02-01,62257.02429628227,4563.152162737413,173396.83561849917,62257.02429628227,62257.02429628227,22072.191155649864,22072.191155649864,22072.191155649864,22072.191155649864,22072.191155649864,22072.191155649864,0.0,0.0,0.0,84329.21545193213,Central,48721.260000000024,1610.4333
2012-03-01,71419.55860772393,-28214.304849238393,153775.93769295714,71419.55860772393,71419.55860772393,-7696.435664480875,-7696.435664480875,-7696.435664480875,-7696.435664480875,-7696.435664480875,-7696.435664480875,0.0,0.0,0.0,63723.122943243055,Central,34765.780000000006,1811.62
2012-04-01,81215.11503360733,21125.30768955342,191662.92138713485,81215.11503360733,81215.11503360733,25648.5090816917,25648.5090816917,25648.5090816917,25648.5090816917,25648.5090816917,25648.5090816917,0.0,0.0,0.0,106863.62411529903,Central,38256.25999999998,1596.0800000000002
2012-05-01,90695.7551453159,-15328.036840973333,162247.8344179192,90695.7551453159,90695.7551453159,-16358.022334596106,-16358.022334596106,-16358.022334596106,-16358.022334596106,-16358.022334596106,-16358.022334596106,0.0,0.0,0.0,74337.73281071978,Central,27931.510000000006,1890.3100000000002
2012-06-01,100492.60711521092,23188.89542874123,200434.7646690931,100492.60711521092,100492.60711521092,6901.220517532674,6901.220517532674,6901.220517532674,6901.220517532674,6901.220517532674,6901.220517532674,0.0,0.0,0.0,107393.8276327436,Central,33699.79999999999,1515.2500000000002
2012-07-01,109973.60096332394,32958.37340655097,209703.4094949395,109973.60096332394,109973.60096332394,12228.548241645014,12228.548241645014,12228.548241645014,12228.548241645014,12228.548241645014,12228.548241645014,0.0,0.0,0.0,122202.14920496896,Central,26630.75000000001,1279.15
2012-08-01,119770.96591439485,5685.236994188772,178095.9803751965,119770.96591439485,119770.96591439485,-34958.78413422256,-34958.78413422256,-34958.78413422256,-34958.78413422256,-34958.78413422256,-34958.78413422256,0.0,0.0,0.0,84812.1817801723,Central,44565.81000000003,18224.569999999978
2012-09-01,129568.34626823156,-19447.23985453565,155781.85176405337,129568.34626823156,129568.34626823156,-61463.87547138603,-61463.87547138603,-61463.87547138603,-61463.87547138603,-61463.87547138603,-61463.87547138603,0.0,0.0,0.0,68104.47079684553,Central,39767.430000000015,12744.140000000016
