portfolio,index,y,total_labor_hours,wo#
Central,179.99999999994543,567265.3746514461,23890.095846885077,3162.9245278723847
Central,184.99999999989177,523459.8673325568,27487.094080104114,3623.590806873236
Central,189.9999999998385,503471.26030094485,31171.289804180255,3935.562200518233
Central,194.99999999978544,494097.4393686734,33798.65571277442,4130.250455502154
Central,199.9999999997325,491049.39813987765,35570.768610670086,4260.461911517081
Central,204.99999999967963,492575.2358723173,36852.71379852701,4362.947563103709
Central,209.99999999962682,497608.1216873384,37905.26830301854,4457.543421413632
Central,214.99999999957404,505312.80003698304,38873.872346376425,4553.159235125342
Central,219.99999999952126,515004.588446352,39827.72728718923,4652.890459944914
Central,224.99999999946846,526138.8396177437,40794.376865691134,4757.157236802851
Central,229.99999999941562,538299.5567325825,41781.367866524066,4865.355079881421
Central,234.99999999936273,551179.7520080297,42787.89189031337,4976.625215710734
Giant Food,180.99999999997542,338797.97820814245,24170.73596486697,3094.252508498486
Giant Food,185.99999999995248,367252.26245315216,24419.642684777376,3319.701560896572
Giant Food,190.9999999999301,392967.7540018669,25284.221149166533,3537.481879424458
Giant Food,195.99999999990806,418967.73717772524,26407.28113825405,3738.6831651881953
Giant Food,200.99999999988634,445418.17558443185,27589.465544289076,3922.670325407057
Giant Food,205.999999999865,471649.2075966872,28740.056316102033,4092.175069466151
Giant Food,210.99999999984408,497019.90704939736,29830.739257391222,4250.661879294303
Giant Food,215.99999999982342,521171.55988982937,30862.981214270447,4401.1818348204915
Giant Food,220.99999999980298,544014.7406342876,31848.843479493262,4546.046009203037
Giant Food,225.9999999997826,565635.8065498671,32801.51443710907,4686.871381793103
Giant Food,230.99999999976222,586205.36146003,33731.6808481361,4824.747467098669
Giant Food,235.99999999974176,605914.8484178566,34646.85759280265,4960.405416628498
Giant Martins,181.9999999999687,300512.40768314817,42724.47989606882,4696.190532805751
Giant Martins,186.99999999994515,291354.4009454757,42720.86840780438,5139.622018467061
Giant Martins,191.99999999992366,300831.3080966964,45027.23343784062,5593.78284614426
Giant Martins,196.9999999999019,316489.05679610884,47842.12947332667,5988.90870072839
Giant Martins,201.99999999987915,332965.4812768292,50506.90168868056,6318.289551130089
Giant Martins,206.99999999985533,348406.6153577929,52865.37767085953,6595.853154473575
Giant Martins,211.9999999998306,362490.15733344835,54948.23432363422,6838.311510687994
Giant Martins,216.99999999980514,375441.413271781,56833.179129238604,7059.128074283946
Giant Martins,221.99999999977908,387598.4404544154,58592.17269449269,7267.517467503359
Giant Martins,226.99999999975256,399252.22197638045,60277.473905481704,7469.192040951866
Giant Martins,231.99999999972565,410609.6740395168,61922.53766029872,7667.442159547851
Giant Martins,236.99999999969836,421802.85842461814,63547.00575669327,7864.048275670563
North,183.00000000003286,313205.3961068199,23446.761259907616,2857.047820755941
North,188.0000000000429,284230.3250821478,26929.84583909159,3199.9049765069444
North,193.00000000004974,296633.2909167463,30567.974165941767,3521.732478956736
North,198.00000000005747,313166.78169089125,32966.16518965548,3749.2787696939095
North,203.00000000006636,327355.97903837723,34593.2069137018,3915.3847268091936
North,208.0000000000762,339369.71296668303,35865.86736406017,4049.967556883123
North,213.00000000008674,350116.3590958099,36991.05640258083,4169.450877209874
North,218.00000000009788,360211.53207033646,38055.69227633064,4281.737334041976
North,223.00000000010954,369982.981999103,39094.44218232799,4390.517045308285
North,228.00000000012164,379593.18478881667,40121.363961761985,4497.538967933264
North,233.00000000013418,389121.81930672313,41142.520700710316,4603.658751253066
North,238.00000000014717,398608.5063080674,42160.736506307265,4709.308276438889
South,183.99999999997618,263210.0857418537,14577.228573567825,2234.316793390514
South,188.99999999995418,249406.40709653514,16668.147586936837,2620.1584393594944
South,193.99999999993213,253779.66341642005,19724.463236171003,2902.292901712494
South,198.9999999999095,262928.51113524544,22319.326984171603,3098.5642158053793
South,203.99999999988614,272548.4128309594,24241.31519228642,3239.1894565288785
South,208.9999999998621,281621.93833158154,25634.163373793835,3348.7260354541168
South,213.99999999983743,290155.1193904205,26688.9434518887,3443.181511977011
South,218.9999999998122,298367.61892315646,27554.67827420402,3531.6811029312244
South,223.99999999978633,306448.0486261828,28327.358349904513,3618.832001657283
South,228.99999999975984,314509.7873171043,29061.71330312786,3706.620583363941
South,233.99999999973278,322605.71358404064,29785.658231944326,3795.668043501011
South,238.99999999970515,330751.9437172193,30511.55614659317,3885.9702910638994
