region,index,y,total_labor_hours,wo#
Region 031,305.1522707957501,311933.5290317156,23355.40324065373,2853.6003701401814
Region 031,314.47354287922644,288019.0590116497,27329.672741454095,3229.143475920227
Region 031,323.90327351537985,302960.7212422929,31173.861094676686,3568.791439254506
Region 031,333.4130018065626,320644.6353936776,33667.903114574976,3807.7400570407226
Region 031,342.99020917123323,335706.0434686189,35385.785555455965,3984.694200929886
Region 031,352.6294065151956,348685.18908280646,36766.40708432667,4131.033820578132
Region 031,362.32816646273216,360541.06012642104,38014.24326260401,4263.206897046028
Region 031,372.0854499528731,371863.39058215695,39211.762311891085,4388.954083409368
Region 031,381.90088491593644,382953.4639168151,40391.24735221511,4511.879327950215
Region 031,391.7744363983874,393958.58731824334,41565.88083725609,4633.711048937674
Region 031,401.7062458177014,404951.37618771,42741.51488677802,4755.311851989703
Region 031,411.6965488466294,415968.57852817886,43920.98399079711,4877.1271061476455
Region 032,306.0982269148192,562263.3221417681,23706.7335387594,3150.157948494157
Region 032,315.3952307806033,517874.086502711,27371.59517446674,3616.681026927125
Region 032,324.81201471205577,498597.5992007559,31166.558016079118,3939.072064302919
Region 032,334.3128818261255,490548.70813391067,33915.57635636195,4145.96299005614
Region 032,343.8819265466229,489225.17006051034,35815.82437102,4289.552856069122
Region 032,353.5122324201099,492734.5298407857,37230.78974826836,4406.339249084037
Region 032,363.2009363038305,499896.6809908606,38420.15522074894,4515.976795773955
Region 032,372.94698667493486,509795.9691485345,39528.87847208946,4627.242958280235
Region 032,382.7501326002196,521700.60635924287,40626.18138255128,4743.1500463190905
Region 032,392.6104716414147,535045.4846665858,41739.90972971155,4864.078514739397
Region 032,402.52824995088963,549412.1294764687,42878.027772686415,4989.418159890193
Region 032,412.5037752457538,564501.4813107979,44040.1716445472,5118.328256358142
Region 033,307.25876988095564,265268.4786531997,14411.83894887635,2218.6606608185707
Region 033,316.64042674998683,252921.82428505865,16532.93811719554,2613.977487099495
Region 033,326.1192574839781,258351.8602252659,19668.31890062789,2908.6187565914065
Region 033,335.6773342611948,268416.56771867943,22366.212240006254,3117.595623405515
Region 033,345.3037602713687,278949.157440482,24396.861169926968,3270.181810200283
Region 033,354.99263034465235,288984.6928797028,25894.5928124855,3390.9431013288404
Region 033,364.7411638870882,298543.21585283655,27048.166178577205,3496.253110002275
