specialty,y,total_labor_hours,wo#
ALARMS,-210.32312688358098,-5.623114069361691,2.0599242446896957
ALARMS,358.2285446109784,8.553035246996023,5.69119152133512
ALARMS,2476.314025769172,33.58246398210151,11.276397195491377
ALARMS,4927.719731515956,59.44257422236918,17.028886332290377
ALARMS,7210.273509945956,82.6683726715461,22.220317348675476
ALARMS,9192.6700092661,102.59828216082371,26.689270029796365
ALARMS,10875.985873068243,119.45940954022491,30.475667911258515
ALARMS,12296.066512051111,133.67067618655668,33.668792731420126
ALARMS,13492.295317307695,145.6399850597413,36.358658650211716
ALARMS,14499.78958265486,155.7209999444238,38.62427552051604
ALARMS,15348.387838687933,164.21233496563787,40.53264250745135
ALARMS,16063.19732553587,171.36505228144387,42.140164241915855
BUILDING,28507.159490858125,142.10407701112894,23.102189497525924
BUILDING,32504.790007834097,145.43775715716419,26.0883101596041
BUILDING,30554.541649745006,130.82265025048451,23.518939432804203
BUILDING,29462.37241548727,126.62544275170625,22.460221450430666
BUILDING,29397.028331099005,127.22398865862122,22.480957320716406
BUILDING,29503.073977382686,127.84616809793862,22.60530185909255
BUILDING,29536.552228112836,127.93198774765425,22.63362380436707
BUILDING,29532.784722824945,127.88259919948443,22.626512493971624
BUILDING,29528.05140638761,127.86063575987224,22.621537701383993
BUILDING,29527.307341134954,127.86080448838844,22.621113413520092
BUILDING,29527.6602979713,127.86333853170258,22.621572918978146
BUILDING,29527.832076900668,127.86394649412243,22.621734780123553
CARPENTRY,-37285.986204486,97.32069609757436,-5.848291857281407
CARPENTRY,-64161.8988759491,82.01250771455301,2.5239336944411193
CARPENTRY,-78841.40603050624,109.87323712826112,27.277868725028725
CARPENTRY,-83719.04754008673,197.899558601155,65.19421514177672
CARPENTRY,-80664.91092404188,338.96750157858963,112.6488715302534
CARPENTRY,-71351.79213182071,520.1140784511913,166.21839370348192
CARPENTRY,-57317.75476159586,727.9329027961631,222.8756696322196
CARPENTRY,-39961.881759200915,950.2181719570738,280.0524859767691
CARPENTRY,-20528.729126222657,1176.472405295976,335.6507472862141
CARPENTRY,-96.32418304611201,1398.034980219843,388.02845589284385
CARPENTRY,20429.091383382525,1608.0584495096027,435.9705288313156
CARPENTRY,40311.69564015048,1801.4079123804906,478.6497318292565
